Buchungsnummer,Reisedatum,Passagier-ID,Abfahrtsbahnhof,Zug-ID,Zugpersonal,Waggontyp,Reiseklasse,Fahrtstrecke_km,Tarif_pro_km,Ticketpreis,Reservierungsgebühr,Gesamtbetrag
TR-2022-001825,2022-06-01,Mieter-U-055-1,Frankfurt,V-05,Markus Wagner,Service-Abteil,2. Klasse (Sparpreis),478,0.097,46.37,4.9,51.27
TR-2021-003737,2022-06-01,Mieter-U-112-2,Köln,V-05,Markus Wagner,Schlafwagen,2. Klasse (Flexpreis),68,0.217,14.76,0.0,14.76
TR-2021-001371,2022-06-01,Mieter-U-041-1,Frankfurt,V-02,Petra Schmidt,Gepäckwagen,1. Klasse (Business),252,0.406,102.31,0.0,102.31
TR-2022-002993,2022-06-01,Mieter-U-090-1,Frankfurt,V-05,Markus Wagner,Schlafwagen,2. Klasse (Flexpreis),124,0.237,29.39,0.0,29.39
TR-2021-004006,2022-06-01,Mieter-U-120-1,Köln,V-01,Hans Müller,Gepäckwagen,1. Klasse (Business),98,0.492,48.22,0.0,48.22
TR-2021-001406,2022-06-01,Mieter-U-042-1,Köln,V-05,Markus Wagner,Bordbistro,2. Klasse (Sparpreis),317,0.11,34.87,0.0,34.87
TR-2022-001888,2022-06-01,Mieter-U-057-1,München,V-04,Thomas Weber,Service-Abteil,2. Klasse (Sparpreis),212,0.108,22.9,0.0,22.9
TR-2021-003976,2022-06-01,Mieter-U-119-1,Frankfurt,V-03,Sabine Fischer,Gepäckwagen,1. Klasse (Business),34,0.444,15.1,0.0,15.1
TR-2022-003657,2022-06-01,Mieter-U-110-1,Berlin,V-01,Hans Müller,Schlafwagen,2. Klasse (Flexpreis),118,0.238,28.08,4.9,32.98
TR-2022-001918,2022-06-01,Mieter-U-058-1,Hamburg,V-02,Petra Schmidt,Bordshop,1. Klasse (Business),488,0.416,203.01,4.9,207.91
TR-2021-003942,2022-06-01,Mieter-U-118-1,Köln,V-04,Thomas Weber,Liegewagen,2. Klasse (Flexpreis),40,0.225,9.0,0.0,9.0
TR-2021-001439,2022-06-01,Mieter-U-043-2,Köln,V-01,Hans Müller,Gepäckwagen,1. Klasse (Business),117,0.428,50.08,0.0,50.08
TR-2021-003907,2022-06-01,Mieter-U-117-1,Köln,V-03,Sabine Fischer,Reisezentrum,2. Klasse (Sparpreis),459,0.092,42.23,0.0,42.23
TR-2022-003626,2022-06-01,Mieter-U-109-1,Berlin,V-03,Sabine Fischer,Business-Abteil,1. Klasse (Business),309,0.423,130.71,4.9,135.61
TR-2022-001951,2022-06-01,Mieter-U-059-1,Hamburg,V-05,Markus Wagner,Schlafwagen,2. Klasse (Flexpreis),40,0.229,9.16,0.0,9.16
TR-2021-001475,2022-06-01,Mieter-U-044-1,Hamburg,V-01,Hans Müller,Business-Abteil,1. Klasse (Business),280,0.428,119.84,0.0,119.84
TR-2021-003871,2022-06-01,Mieter-U-116-1,Hamburg,V-01,Hans Müller,Service-Abteil,2. Klasse (Sparpreis),337,0.1,33.7,0.0,33.7
TR-2021-001506,2022-06-01,Mieter-U-045-1,Köln,V-02,Petra Schmidt,Bordbistro,2. Klasse (Sparpreis),117,0.107,12.52,0.0,12.52
TR-2022-003596,2022-06-01,Mieter-U-108-1,Köln,V-03,Sabine Fischer,Bordshop,1. Klasse (Business),320,0.442,141.44,0.0,141.44
TR-2021-000221,2022-06-01,Mieter-U-007-2,Hamburg,V-02,Petra Schmidt,Business-Abteil,1. Klasse (Business),77,0.471,36.27,0.0,36.27
TR-2022-001988,2022-06-01,Mieter-U-060-1,Berlin,V-04,Thomas Weber,First Class Abteil,1. Klasse (Business),241,0.416,100.26,0.0,100.26
TR-2022-002023,2022-06-01,Mieter-U-061-1,Köln,V-04,Thomas Weber,Reisezentrum,2. Klasse (Sparpreis),448,0.1,44.8,0.0,44.8
TR-2021-003805,2022-06-01,Mieter-U-114-2,Köln,V-05,Markus Wagner,Reisezentrum,2. Klasse (Sparpreis),415,0.107,44.4,0.0,44.4
TR-2021-001538,2022-06-01,Mieter-U-046-1,Berlin,V-01,Hans Müller,First Class Abteil,1. Klasse (Business),251,0.492,123.49,0.0,123.49
TR-2021-003771,2022-06-01,Mieter-U-113-1,Frankfurt,V-05,Markus Wagner,Service-Abteil,2. Klasse (Sparpreis),188,0.093,17.48,0.0,17.48
TR-2022-003560,2022-06-01,Mieter-U-107-1,München,V-03,Sabine Fischer,Service-Abteil,2. Klasse (Sparpreis),270,0.1,27.0,0.0,27.0
TR-2022-002057,2022-06-01,Mieter-U-062-1,Hamburg,V-01,Hans Müller,Panoramawagen,2. Klasse (Flexpreis),109,0.203,22.13,0.0,22.13
TR-2021-001573,2022-06-01,Mieter-U-047-1,Berlin,V-05,Markus Wagner,Business-Abteil,1. Klasse (Business),29,0.475,13.77,0.0,13.77
TR-2021-003738,2022-06-01,Mieter-U-112-3,Köln,V-05,Markus Wagner,Schlafwagen,2. Klasse (Flexpreis),68,0.203,13.8,4.9,18.7
TR-2022-002088,2022-06-01,Mieter-U-063-1,Köln,V-03,Sabine Fischer,Schlafwagen,2. Klasse (Flexpreis),146,0.203,29.64,4.9,34.54
TR-2021-003837,2022-06-01,Mieter-U-115-1,Frankfurt,V-05,Markus Wagner,Bordbistro,2. Klasse (Sparpreis),318,0.097,30.85,0.0,30.85
TR-2021-000151,2022-06-01,Mieter-U-005-1,Berlin,V-05,Markus Wagner,Panoramawagen,2. Klasse (Flexpreis),91,0.221,20.11,0.0,20.11
TR-2021-001673,2022-06-01,Mieter-U-050-1,Berlin,V-05,Markus Wagner,Business-Abteil,1. Klasse (Business),307,0.484,148.59,0.0,148.59
TR-2021-002100,2022-06-01,Mieter-U-063-1,Köln,V-03,Sabine Fischer,Schlafwagen,2. Klasse (Flexpreis),146,0.22,32.12,0.0,32.12
TR-2021-003036,2022-06-01,Mieter-U-091-1,München,V-04,Thomas Weber,Service-Abteil,2. Klasse (Sparpreis),410,0.108,44.28,0.0,44.28
TR-2021-003066,2022-06-01,Mieter-U-092-1,München,V-03,Sabine Fischer,Reisezentrum,2. Klasse (Sparpreis),374,0.091,34.03,0.0,34.03
TR-2022-002560,2022-06-01,Mieter-U-077-1,Frankfurt,V-02,Petra Schmidt,Gepäckwagen,1. Klasse (Business),218,0.424,92.43,0.0,92.43
TR-2022-003254,2022-06-01,Mieter-U-098-1,München,V-01,Hans Müller,Business-Abteil,1. Klasse (Business),332,0.428,142.1,0.0,142.1
TR-2021-002069,2022-06-01,Mieter-U-062-1,Hamburg,V-01,Hans Müller,Panoramawagen,2. Klasse (Flexpreis),109,0.233,25.4,0.0,25.4
TR-2022-002594,2022-06-01,Mieter-U-078-1,Frankfurt,V-02,Petra Schmidt,Service-Abteil,2. Klasse (Sparpreis),129,0.094,12.13,0.0,12.13
TR-2021-003100,2022-06-01,Mieter-U-093-1,Frankfurt,V-04,Thomas Weber,Liegewagen,2. Klasse (Flexpreis),88,0.239,21.03,0.0,21.03
TR-2022-002526,2022-06-01,Mieter-U-076-1,Frankfurt,V-02,Petra Schmidt,Gepäckwagen,1. Klasse (Business),79,0.491,38.79,0.0,38.79
TR-2021-003133,2022-06-01,Mieter-U-094-1,Köln,V-03,Sabine Fischer,Liegewagen,2. Klasse (Flexpreis),117,0.228,26.68,0.0,26.68
TR-2021-003165,2022-06-01,Mieter-U-095-1,Hamburg,V-02,Petra Schmidt,Service-Abteil,2. Klasse (Sparpreis),332,0.093,30.88,0.0,30.88
TR-2022-002493,2022-06-01,Mieter-U-075-1,München,V-04,Thomas Weber,Bordbistro,2. Klasse (Sparpreis),287,0.095,27.26,0.0,27.26
TR-2021-000118,2022-06-01,Mieter-U-004-2,Frankfurt,V-03,Sabine Fischer,Schlafwagen,2. Klasse (Flexpreis),148,0.233,34.48,0.0,34.48
TR-2022-003292,2022-06-01,Mieter-U-099-1,Hamburg,V-04,Thomas Weber,Gepäckwagen,1. Klasse (Business),238,0.483,114.95,0.0,114.95
TR-2021-002035,2022-06-01,Mieter-U-061-1,Köln,V-04,Thomas Weber,Reisezentrum,2. Klasse (Sparpreis),448,0.106,47.49,0.0,47.49
TR-2021-003004,2022-06-01,Mieter-U-090-2,Frankfurt,V-05,Markus Wagner,Schlafwagen,2. Klasse (Flexpreis),124,0.206,25.54,0.0,25.54
TR-2022-004933,2022-06-01,Mieter-U-148-1,Berlin,V-03,Sabine Fischer,Schlafwagen,2. Klasse (Flexpreis),62,0.235,14.57,4.9,19.47
TR-2022-003223,2022-06-01,Mieter-U-097-1,Frankfurt,V-04,Thomas Weber,Business-Abteil,1. Klasse (Business),206,0.47,96.82,0.0,96.82
TR-2021-002839,2022-06-01,Mieter-U-085-1,Berlin,V-02,Petra Schmidt,Panoramawagen,2. Klasse (Flexpreis),35,0.241,8.44,0.0,8.44
TR-2022-002727,2022-06-01,Mieter-U-082-1,Frankfurt,V-03,Sabine Fischer,Panoramawagen,2. Klasse (Flexpreis),37,0.221,8.18,0.0,8.18
TR-2022-003153,2022-06-01,Mieter-U-095-1,Hamburg,V-02,Petra Schmidt,Service-Abteil,2. Klasse (Sparpreis),332,0.104,34.53,0.0,34.53
TR-2021-002872,2022-06-01,Mieter-U-086-1,Hamburg,V-03,Sabine Fischer,Reisezentrum,2. Klasse (Sparpreis),63,0.105,6.61,0.0,6.61
TR-2021-002201,2022-06-01,Mieter-U-066-2,Berlin,V-02,Petra Schmidt,Panoramawagen,2. Klasse (Flexpreis),101,0.228,23.03,0.0,23.03
TR-2022-002692,2022-06-01,Mieter-U-081-1,Hamburg,V-01,Hans Müller,First Class Abteil,1. Klasse (Business),391,0.405,158.36,0.0,158.36
TR-2021-002906,2022-06-01,Mieter-U-087-2,Berlin,V-02,Petra Schmidt,Business-Abteil,1. Klasse (Business),435,0.489,212.72,0.0,212.72
TR-2021-002165,2022-06-01,Mieter-U-065-1,Köln,V-04,Thomas Weber,Panoramawagen,2. Klasse (Flexpreis),57,0.234,13.34,0.0,13.34
TR-2022-002657,2022-06-01,Mieter-U-080-1,Berlin,V-05,Markus Wagner,Reisezentrum,2. Klasse (Sparpreis),260,0.102,26.52,0.0,26.52
TR-2022-003189,2022-06-01,Mieter-U-096-1,München,V-05,Markus Wagner,First Class Abteil,1. Klasse (Business),251,0.414,103.91,0.0,103.91
TR-2021-002939,2022-06-01,Mieter-U-088-1,Frankfurt,V-03,Sabine Fischer,Gepäckwagen,1. Klasse (Business),76,0.435,33.06,0.0,33.06
TR-2021-002133,2022-06-01,Mieter-U-064-1,Köln,V-04,Thomas Weber,First Class Abteil,1. Klasse (Business),114,0.491,55.97,0.0,55.97
TR-2021-002973,2022-06-01,Mieter-U-089-1,Köln,V-03,Sabine Fischer,Liegewagen,2. Klasse (Flexpreis),47,0.216,10.15,0.0,10.15
TR-2022-002625,2022-06-01,Mieter-U-079-1,Frankfurt,V-01,Hans Müller,Liegewagen,2. Klasse (Flexpreis),123,0.24,29.52,4.9,34.42
TR-2021-000086,2022-06-01,Mieter-U-003-1,Köln,V-05,Markus Wagner,Reisezentrum,2. Klasse (Sparpreis),194,0.09,17.46,0.0,17.46
TR-2021-002000,2022-06-01,Mieter-U-060-1,Berlin,V-04,Thomas Weber,First Class Abteil,1. Klasse (Business),241,0.491,118.33,0.0,118.33
TR-2021-003201,2022-06-01,Mieter-U-096-1,München,V-05,Markus Wagner,First Class Abteil,1. Klasse (Business),251,0.405,101.66,0.0,101.66
TR-2022-002457,2022-06-01,Mieter-U-074-1,Köln,V-04,Thomas Weber,Liegewagen,2. Klasse (Flexpreis),36,0.234,8.42,0.0,8.42
TR-2021-001963,2022-06-01,Mieter-U-059-2,Hamburg,V-05,Markus Wagner,Schlafwagen,2. Klasse (Flexpreis),40,0.239,9.56,0.0,9.56
TR-2021-003441,2022-06-01,Mieter-U-103-2,Köln,V-04,Thomas Weber,Panoramawagen,2. Klasse (Flexpreis),30,0.2,6.0,0.0,6.0
TR-2022-002289,2022-06-01,Mieter-U-069-1,Frankfurt,V-02,Petra Schmidt,Liegewagen,2. Klasse (Flexpreis),82,0.241,19.76,0.0,19.76
TR-2022-001857,2022-06-01,Mieter-U-056-1,Hamburg,V-01,Hans Müller,Reisezentrum,2. Klasse (Sparpreis),94,0.106,9.96,0.0,9.96
TR-2021-001770,2022-06-01,Mieter-U-053-2,Hamburg,V-01,Hans Müller,Bordshop,1. Klasse (Business),96,0.471,45.22,4.9,50.12
TR-2021-003474,2022-06-01,Mieter-U-104-1,Frankfurt,V-03,Sabine Fischer,Panoramawagen,2. Klasse (Flexpreis),54,0.225,12.15,0.0,12.15
TR-2022-002257,2022-06-01,Mieter-U-068-1,München,V-02,Petra Schmidt,Panoramawagen,2. Klasse (Flexpreis),30,0.227,6.81,0.0,6.81
TR-2021-003508,2022-06-01,Mieter-U-105-2,Berlin,V-02,Petra Schmidt,Bordbistro,2. Klasse (Sparpreis),318,0.102,32.44,0.0,32.44
TR-2022-003430,2022-06-01,Mieter-U-103-1,Köln,V-04,Thomas Weber,Panoramawagen,2. Klasse (Flexpreis),30,0.222,6.66,0.0,6.66
TR-2021-001738,2022-06-01,Mieter-U-052-1,Köln,V-04,Thomas Weber,Panoramawagen,2. Klasse (Flexpreis),51,0.207,10.56,0.0,10.56
TR-2021-003539,2022-06-01,Mieter-U-106-1,Hamburg,V-04,Thomas Weber,Bordbistro,2. Klasse (Sparpreis),328,0.101,33.13,0.0,33.13
TR-2022-002222,2022-06-01,Mieter-U-067-1,Frankfurt,V-04,Thomas Weber,Reisezentrum,2. Klasse (Sparpreis),471,0.104,48.98,0.0,48.98
TR-2022-003462,2022-06-01,Mieter-U-104-1,Frankfurt,V-03,Sabine Fischer,Panoramawagen,2. Klasse (Flexpreis),54,0.208,11.23,0.0,11.23
TR-2021-001707,2022-06-01,Mieter-U-051-1,Köln,V-03,Sabine Fischer,Bordshop,1. Klasse (Business),434,0.435,188.79,0.0,188.79
TR-2021-003572,2022-06-01,Mieter-U-107-1,München,V-03,Sabine Fischer,Service-Abteil,2. Klasse (Sparpreis),270,0.093,25.11,0.0,25.11
TR-2022-002189,2022-06-01,Mieter-U-066-1,Berlin,V-02,Petra Schmidt,Panoramawagen,2. Klasse (Flexpreis),101,0.218,22.02,0.0,22.02
TR-2021-001806,2022-06-01,Mieter-U-054-1,Berlin,V-01,Hans Müller,Liegewagen,2. Klasse (Flexpreis),43,0.208,8.94,0.0,8.94
TR-2021-003607,2022-06-01,Mieter-U-108-2,Köln,V-03,Sabine Fischer,Bordshop,1. Klasse (Business),320,0.417,133.44,0.0,133.44
TR-2022-003395,2022-06-01,Mieter-U-102-1,Frankfurt,V-01,Hans Müller,Service-Abteil,2. Klasse (Sparpreis),43,0.101,4.34,0.0,4.34
TR-2021-003407,2022-06-01,Mieter-U-102-1,Frankfurt,V-01,Hans Müller,Service-Abteil,2. Klasse (Sparpreis),43,0.097,4.17,0.0,4.17
TR-2022-003326,2022-06-01,Mieter-U-100-1,Berlin,V-03,Sabine Fischer,Bordshop,1. Klasse (Business),290,0.495,143.55,0.0,143.55
TR-2021-003235,2022-06-01,Mieter-U-097-1,Frankfurt,V-04,Thomas Weber,Business-Abteil,1. Klasse (Business),206,0.492,101.35,0.0,101.35
TR-2021-001930,2022-06-01,Mieter-U-058-1,Hamburg,V-02,Petra Schmidt,Bordshop,1. Klasse (Business),488,0.465,226.92,0.0,226.92
TR-2021-003267,2022-06-01,Mieter-U-098-2,München,V-01,Hans Müller,Business-Abteil,1. Klasse (Business),332,0.489,162.35,0.0,162.35
TR-2022-002423,2022-06-01,Mieter-U-073-1,München,V-03,Sabine Fischer,Panoramawagen,2. Klasse (Flexpreis),106,0.212,22.47,0.0,22.47
TR-2021-001899,2022-06-01,Mieter-U-057-2,München,V-04,Thomas Weber,Service-Abteil,2. Klasse (Sparpreis),212,0.105,22.26,0.0,22.26
TR-2021-003304,2022-06-01,Mieter-U-099-1,Hamburg,V-04,Thomas Weber,Gepäckwagen,1. Klasse (Business),238,0.463,110.19,0.0,110.19
TR-2022-002390,2022-06-01,Mieter-U-072-1,Berlin,V-05,Markus Wagner,Service-Abteil,2. Klasse (Sparpreis),264,0.097,25.61,0.0,25.61
TR-2022-003362,2022-06-01,Mieter-U-101-1,München,V-05,Markus Wagner,Bordbistro,2. Klasse (Sparpreis),327,0.092,30.08,0.0,30.08
TR-2021-003339,2022-06-01,Mieter-U-100-2,Berlin,V-03,Sabine Fischer,Bordshop,1. Klasse (Business),290,0.465,134.85,0.0,134.85
TR-2021-001869,2022-06-01,Mieter-U-056-1,Hamburg,V-01,Hans Müller,Reisezentrum,2. Klasse (Sparpreis),94,0.109,10.25,0.0,10.25
TR-2022-002354,2022-06-01,Mieter-U-071-1,Köln,V-02,Petra Schmidt,Reisezentrum,2. Klasse (Sparpreis),344,0.104,35.78,4.9,40.68
TR-2021-003375,2022-06-01,Mieter-U-101-2,München,V-05,Markus Wagner,Bordbistro,2. Klasse (Sparpreis),327,0.104,34.01,0.0,34.01
TR-2022-004872,2022-06-01,Mieter-U-146-1,Köln,V-01,Hans Müller,Schlafwagen,2. Klasse (Flexpreis),49,0.204,10.0,0.0,10.0
TR-2021-001837,2022-06-01,Mieter-U-055-1,Frankfurt,V-05,Markus Wagner,Service-Abteil,2. Klasse (Sparpreis),478,0.105,50.19,0.0,50.19
TR-2022-002323,2022-06-01,Mieter-U-070-1,Hamburg,V-05,Markus Wagner,Liegewagen,2. Klasse (Flexpreis),50,0.218,10.9,0.0,10.9
TR-2021-004042,2022-06-01,Mieter-U-121-1,Berlin,V-05,Markus Wagner,Service-Abteil,2. Klasse (Sparpreis),130,0.105,13.65,0.0,13.65
TR-2021-004208,2022-06-01,Mieter-U-126-1,München,V-03,Sabine Fischer,Gepäckwagen,1. Klasse (Business),155,0.419,64.94,0.0,64.94
TR-2021-001336,2022-06-01,Mieter-U-040-1,Frankfurt,V-03,Sabine Fischer,Business-Abteil,1. Klasse (Business),179,0.423,75.72,0.0,75.72
TR-2022-000074,2022-06-01,Mieter-U-003-1,Köln,V-05,Markus Wagner,Reisezentrum,2. Klasse (Sparpreis),194,0.102,19.79,0.0,19.79
TR-2022-004733,2022-06-01,Mieter-U-142-1,Frankfurt,V-02,Petra Schmidt,Bordshop,1. Klasse (Business),138,0.446,61.55,0.0,61.55
TR-2022-000107,2022-06-01,Mieter-U-004-1,Frankfurt,V-03,Sabine Fischer,Schlafwagen,2. Klasse (Flexpreis),148,0.238,35.22,0.0,35.22
TR-2022-001054,2022-06-01,Mieter-U-032-1,Berlin,V-05,Markus Wagner,Service-Abteil,2. Klasse (Sparpreis),311,0.106,32.97,0.0,32.97
TR-2022-004165,2022-06-01,Mieter-U-125-1,Frankfurt,V-01,Hans Müller,Panoramawagen,2. Klasse (Flexpreis),71,0.223,15.83,0.0,15.83
TR-2022-000139,2022-06-01,Mieter-U-005-1,Berlin,V-05,Markus Wagner,Panoramawagen,2. Klasse (Flexpreis),91,0.227,20.66,0.0,20.66
TR-2022-004699,2022-06-01,Mieter-U-141-1,Frankfurt,V-01,Hans Müller,Panoramawagen,2. Klasse (Flexpreis),124,0.235,29.14,4.9,34.04
TR-2022-001019,2022-06-01,Mieter-U-031-1,Köln,V-03,Sabine Fischer,Reisezentrum,2. Klasse (Sparpreis),377,0.093,35.06,0.0,35.06
TR-2021-000584,2022-06-01,Mieter-U-018-2,Köln,V-05,Markus Wagner,Service-Abteil,2. Klasse (Sparpreis),268,0.091,24.39,0.0,24.39
TR-2022-000173,2022-06-01,Mieter-U-006-1,München,V-05,Markus Wagner,Liegewagen,2. Klasse (Flexpreis),48,0.205,9.84,0.0,9.84
TR-2022-004196,2022-06-01,Mieter-U-126-1,München,V-03,Sabine Fischer,Gepäckwagen,1. Klasse (Business),155,0.474,73.47,4.9,78.37
TR-2022-000208,2022-06-01,Mieter-U-007-1,Hamburg,V-02,Petra Schmidt,Business-Abteil,1. Klasse (Business),77,0.409,31.49,0.0,31.49
TR-2022-000985,2022-06-01,Mieter-U-030-1,Hamburg,V-02,Petra Schmidt,Service-Abteil,2. Klasse (Sparpreis),498,0.109,54.28,0.0,54.28
TR-2022-004668,2022-06-01,Mieter-U-140-1,München,V-03,Sabine Fischer,Service-Abteil,2. Klasse (Sparpreis),317,0.095,30.12,0.0,30.12
TR-2022-000950,2022-06-01,Mieter-U-029-1,Hamburg,V-04,Thomas Weber,Business-Abteil,1. Klasse (Business),216,0.448,96.77,0.0,96.77
TR-2022-001085,2022-06-01,Mieter-U-033-1,Frankfurt,V-02,Petra Schmidt,Service-Abteil,2. Klasse (Sparpreis),237,0.102,24.17,0.0,24.17
TR-2022-000241,2022-06-01,Mieter-U-008-1,München,V-04,Thomas Weber,Schlafwagen,2. Klasse (Flexpreis),137,0.239,32.74,0.0,32.74
TR-2022-004769,2022-06-01,Mieter-U-143-1,München,V-02,Petra Schmidt,First Class Abteil,1. Klasse (Business),292,0.412,120.3,0.0,120.3
TR-2022-005003,2022-06-01,Mieter-U-150-1,München,V-01,Hans Müller,Bordshop,1. Klasse (Business),197,0.455,89.64,0.0,89.64
TR-2021-004914,2022-06-01,Mieter-U-147-2,Hamburg,V-01,Hans Müller,Schlafwagen,2. Klasse (Flexpreis),34,0.23,7.82,0.0,7.82
TR-2022-004064,2022-06-01,Mieter-U-122-1,München,V-03,Sabine Fischer,Bordbistro,2. Klasse (Sparpreis),343,0.093,31.9,0.0,31.9
TR-2021-000689,2022-06-01,Mieter-U-021-1,München,V-03,Sabine Fischer,Panoramawagen,2. Klasse (Flexpreis),87,0.22,19.14,0.0,19.14
TR-2021-004945,2022-06-01,Mieter-U-148-1,Berlin,V-03,Sabine Fischer,Schlafwagen,2. Klasse (Flexpreis),62,0.205,12.71,0.0,12.71
TR-2022-001188,2022-06-01,Mieter-U-036-1,Köln,V-03,Sabine Fischer,Reisezentrum,2. Klasse (Sparpreis),250,0.104,26.0,0.0,26.0
TR-2021-000655,2022-06-01,Mieter-U-020-1,Frankfurt,V-04,Thomas Weber,Liegewagen,2. Klasse (Flexpreis),91,0.2,18.2,0.0,18.2
TR-2021-004981,2022-06-01,Mieter-U-149-2,Frankfurt,V-05,Markus Wagner,Bordbistro,2. Klasse (Sparpreis),168,0.105,17.64,4.9,22.54
TR-2022-001154,2022-06-01,Mieter-U-035-1,Köln,V-04,Thomas Weber,Service-Abteil,2. Klasse (Sparpreis),467,0.102,47.63,0.0,47.63
TR-2022-004100,2022-06-01,Mieter-U-123-1,Köln,V-01,Hans Müller,Liegewagen,2. Klasse (Flexpreis),122,0.222,27.08,0.0,27.08
TR-2021-005015,2022-06-01,Mieter-U-150-1,München,V-01,Hans Müller,Bordshop,1. Klasse (Business),197,0.433,85.3,0.0,85.3
TR-2021-000620,2022-06-01,Mieter-U-019-1,Köln,V-02,Petra Schmidt,Liegewagen,2. Klasse (Flexpreis),82,0.236,19.35,0.0,19.35
TR-2022-000004,2022-06-01,Mieter-U-001-1,Frankfurt,V-05,Markus Wagner,Bordbistro,2. Klasse (Sparpreis),357,0.109,38.91,0.0,38.91
TR-2022-001121,2022-06-01,Mieter-U-034-1,Berlin,V-02,Petra Schmidt,Business-Abteil,1. Klasse (Business),478,0.447,213.67,0.0,213.67
TR-2021-000390,2022-06-01,Mieter-U-012-1,Frankfurt,V-01,Hans Müller,Bordshop,1. Klasse (Business),367,0.448,164.42,0.0,164.42
TR-2022-004132,2022-06-01,Mieter-U-124-1,Köln,V-01,Hans Müller,Gepäckwagen,1. Klasse (Business),180,0.426,76.68,0.0,76.68
TR-2022-000038,2022-06-01,Mieter-U-002-1,München,V-02,Petra Schmidt,Panoramawagen,2. Klasse (Flexpreis),73,0.203,14.82,0.0,14.82
TR-2021-000357,2022-06-01,Mieter-U-011-1,München,V-03,Sabine Fischer,Bordbistro,2. Klasse (Sparpreis),346,0.109,37.71,0.0,37.71
TR-2021-000422,2022-06-01,Mieter-U-013-1,Hamburg,V-01,Hans Müller,Service-Abteil,2. Klasse (Sparpreis),360,0.108,38.88,0.0,38.88
TR-2022-004636,2022-06-01,Mieter-U-139-1,Köln,V-03,Sabine Fischer,Bordbistro,2. Klasse (Sparpreis),30,0.101,3.03,4.9,7.93
TR-2022-004504,2022-06-01,Mieter-U-135-1,München,V-05,Markus Wagner,Reisezentrum,2. Klasse (Sparpreis),129,0.091,11.74,0.0,11.74
TR-2022-004333,2022-06-01,Mieter-U-130-1,Köln,V-05,Markus Wagner,Bordshop,1. Klasse (Business),235,0.45,105.75,0.0,105.75
TR-2022-000506,2022-06-01,Mieter-U-016-1,Köln,V-04,Thomas Weber,Liegewagen,2. Klasse (Flexpreis),45,0.241,10.84,4.9,15.74
TR-2022-004468,2022-06-01,Mieter-U-134-1,München,V-03,Sabine Fischer,Service-Abteil,2. Klasse (Sparpreis),247,0.11,27.17,0.0,27.17
TR-2022-000538,2022-06-01,Mieter-U-017-1,Berlin,V-01,Hans Müller,Panoramawagen,2. Klasse (Flexpreis),105,0.24,25.2,0.0,25.2
TR-2022-000741,2022-06-01,Mieter-U-023-1,München,V-05,Markus Wagner,Panoramawagen,2. Klasse (Flexpreis),66,0.233,15.38,4.9,20.28
TR-2021-000518,2022-06-01,Mieter-U-016-1,Köln,V-04,Thomas Weber,Liegewagen,2. Klasse (Flexpreis),45,0.219,9.86,0.0,9.86
TR-2022-000572,2022-06-01,Mieter-U-018-1,Köln,V-05,Markus Wagner,Service-Abteil,2. Klasse (Sparpreis),268,0.1,26.8,0.0,26.8
TR-2022-000710,2022-06-01,Mieter-U-022-1,Hamburg,V-04,Thomas Weber,Gepäckwagen,1. Klasse (Business),74,0.482,35.67,0.0,35.67
TR-2022-004366,2022-06-01,Mieter-U-131-1,Berlin,V-03,Sabine Fischer,Panoramawagen,2. Klasse (Flexpreis),48,0.235,11.28,0.0,11.28
TR-2022-004434,2022-06-01,Mieter-U-133-1,Berlin,V-02,Petra Schmidt,Service-Abteil,2. Klasse (Sparpreis),83,0.092,7.64,0.0,7.64
TR-2022-000608,2022-06-01,Mieter-U-019-1,Köln,V-02,Petra Schmidt,Liegewagen,2. Klasse (Flexpreis),82,0.234,19.19,0.0,19.19
TR-2022-000677,2022-06-01,Mieter-U-021-1,München,V-03,Sabine Fischer,Panoramawagen,2. Klasse (Flexpreis),87,0.207,18.01,0.0,18.01
TR-2021-000487,2022-06-01,Mieter-U-015-1,Berlin,V-03,Sabine Fischer,Reisezentrum,2. Klasse (Sparpreis),168,0.095,15.96,0.0,15.96
TR-2022-000643,2022-06-01,Mieter-U-020-1,Frankfurt,V-04,Thomas Weber,Liegewagen,2. Klasse (Flexpreis),91,0.223,20.29,0.0,20.29
TR-2022-000778,2022-06-01,Mieter-U-024-1,Hamburg,V-01,Hans Müller,Bordbistro,2. Klasse (Sparpreis),325,0.095,30.88,0.0,30.88
TR-2022-004232,2022-06-01,Mieter-U-127-1,Hamburg,V-01,Hans Müller,Reisezentrum,2. Klasse (Sparpreis),427,0.097,41.42,0.0,41.42
TR-2022-000475,2022-06-01,Mieter-U-015-1,Berlin,V-03,Sabine Fischer,Reisezentrum,2. Klasse (Sparpreis),168,0.107,17.98,0.0,17.98
TR-2021-000453,2022-06-01,Mieter-U-014-1,Berlin,V-04,Thomas Weber,Schlafwagen,2. Klasse (Flexpreis),136,0.232,31.55,0.0,31.55
TR-2022-000276,2022-06-01,Mieter-U-009-1,Hamburg,V-03,Sabine Fischer,Business-Abteil,1. Klasse (Business),92,0.453,41.68,0.0,41.68
TR-2022-000917,2022-06-01,Mieter-U-028-1,Hamburg,V-05,Markus Wagner,Reisezentrum,2. Klasse (Sparpreis),181,0.1,18.1,0.0,18.1
TR-2022-000312,2022-06-01,Mieter-U-010-1,München,V-02,Petra Schmidt,Bordbistro,2. Klasse (Sparpreis),231,0.093,21.48,0.0,21.48
